,index,asin,Brand,Model,title,image,url,Price,Sales,rating
264,264,B079NQHRPS,Nokia,"Nokia 5 (16GB, 2GB R","Nokia 5 (16GB, 2GB RAM) 5.2"" Polarized HD Display, Android 9.0 Pie, Dual SIM GSM (AT&T/T-Mobile/MetroPCS/Cricket/Mint) Unlocked Smartphone (Silver)",https://m.media-amazon.com/images/I/51S8Ri7zyoL._AC_UY218_ML3_.jpg,https://www.amazon.com/Nokia-Unlocked-Smartphone-T-Mobile-MetroPCS/dp/B079NQHRPS,99.0,31,3.5185185185185186
265,265,B079PS2HZM,HUAWEI,Huawei Ascend XT 2 |,"Huawei Ascend XT 2 | (16GB, 2GB RAM) | 5.5"" IPS Display | Dual Camera | 4000 mAh Battery | Android 7.0 Nougat | 4G LTE | GSM Unlocked | Smartphone - Silver",https://m.media-amazon.com/images/I/41g713JM1cL._AC_UY218_ML3_.jpg,https://www.amazon.com/Huawei-Unlocked-H1711-Android-Desbloqueado/dp/B079PS2HZM,99.99,79,4.017241379310345
266,266,B079RJWMZG,Samsung,"Samsung Galaxy S8+, ","Samsung Galaxy S8+, 6.2"" 64GB SPRINT Midnight Black",https://m.media-amazon.com/images/I/41o1rR8G4uL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-SPRINT-Midnight-Black/dp/B079RJWMZG,899.99,3,3.3333333333333335
267,267,B079SQ5VHX,Samsung,Samsung Galaxy S9 (S,"Samsung Galaxy S9 (SM-G960F/DS) 4GB / 64GB 5.8-inches LTE Dual SIM (GSM Only, No CDMA) Factory Unlocked - International Stock No Warranty (Midnight Black, Phone Only)",https://m.media-amazon.com/images/I/51TaayMzqtL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SM-G960F-5-8-inches-Factory-Unlocked/dp/B079SQ5VHX,519.0,122,4.330357142857143
268,268,B079TZVTNQ,HUAWEI,Huawei R216 150 Mbps,"Huawei R216 150 Mbps 4G LTE Mobile WiFi Hotspot Router (4G LTE in USA AT&T Europe, Asia, Middle East & Africa Digitel Orange)",https://m.media-amazon.com/images/I/215Rov5dnLL._AC_UY218_ML3_.jpg,https://www.amazon.com/Huawei-Mobile-Hotspot-Router-Digitel/dp/B079TZVTNQ,49.9,1,3.0
269,269,B079X7DQ4Q,Samsung,Samsung Galaxy S9 Si,"Samsung Galaxy S9 Single SIM 64GB SM-G9600 Factory Unlocked 4G Smartphone (Midnight Black) -International Version - No Warranty in The USA - GSM ONLY, NO CDMA",https://m.media-amazon.com/images/I/71uI+nAzruL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SM-G9600-Unlocked-Smartphone-International/dp/B079X7DQ4Q,449.0,95,3.966666666666667
270,270,B07B82VTX5,Sony,Sony Xperia XZ2 Unlo,"Sony Xperia XZ2 Unlocked Smarphone - Dual SIM - 5.7"" Screen - 64GB - Liquid Silver (US Warranty)",https://m.media-amazon.com/images/I/81fpWSGDNKL._AC_UY218_ML3_.jpg,https://www.amazon.com/Sony-Xperia-XZ2-Unlocked-Smarphone/dp/B07B82VTX5,499.99,45,4.0
271,271,B07B9638J2,Samsung,Samsung Galaxy S9 Pl,"Samsung Galaxy S9 Plus (6.2"", Dual SIM) 64GB SM-G965F/DS Factory Unlocked LTE Smartphone (Lilac Purple) - International Version",https://m.media-amazon.com/images/I/51HU5qBJxHL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-SM-G965F-Factory-Unlocked-Smartphone/dp/B07B9638J2,619.99,25,4.363636363636363
272,272,B07BBQ56WS,Samsung,Samsung Galaxy S9 Sm,Samsung Galaxy S9 Smartphone -Lilac Purple - GSM Only - International Version,https://m.media-amazon.com/images/I/61xHkX-jbpL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-Smartphone-Lilac-Purple/dp/B07BBQ56WS,445.66,8,3.4
273,273,B07BBZJ4G9,Samsung,Samsung Galaxy S9+ S,Samsung Galaxy S9+ Smartphone - Midnight Black - Carrier Locked - Verizon,https://m.media-amazon.com/images/I/316cHR0ZIpL._AC_UY218_ML3_.jpg,https://www.amazon.com/Samsung-Galaxy-S9-Smartphone-Midnight/dp/B07BBZJ4G9,899.99,11,3.9
